album,track,lyrics
Songs For You,Feelings,"Lately I ain't been in my feelings

Nashe, I've been minding my business

♪

Got it on smash

Hitmaka!

Lately I ain't been in my feelings

Nashe, I've been minding my business

Throw it in your face you gon' feel it

Throw it in your face you gon' feel it

You're still stuck in the the past

I don't get mad, I get bags (Big bags)

Pussy, best you done had

Now you won't get this back, no

If that nigga acting up, put his ass out

If a nigga can't fuck, put his ass out

I ain't going back and forth with none of you bitches

Got his ass on a rope, now he tapped out

Had a vision when I started, had it mapped out

Private jet, you in coach, that what you mad about?

Ain't no pressure, ain't no smoke, I'm just ashed out

Smokin' on Keisha, cash out, yeah

Lately I ain't been in my feelings

Nashe, I've been minding my business

♪

Hey baby, look what you do

You give me shivers all over my body

Fuck if I'm acting a fool

You got me way better off than you found me

Don't be too proud to admit that you need me

Not what I'm used to

Coming for number one, let 'em talk

Fuck 'em up, bet you ex so sick

Level up, found a jam, she was a superstar

Baby, I'm that bitch

♪

Don't be too proud to admit that you need me

Not what I'm used to

Believe me, look what you do

♪

Look what you do

Lately I ain't been in my feelings

(Look what you do)

Lately I ain't been in my feelings

Nashe, I've been minding my business (Look what you do)

♪

Nashe, I've been minding my business"
Songs For You,Life's too short,"I know you still love me

It's been a long time without you

Can't help it, facetiming

Long night, can't sleep lonely

Now that you're gone, I've got 20-20 vision 'bout us

Now that you're here I can see it in another way

I just wanna feel you on me

Fuck all of that child play

This shit right here, can't get enough

Who gon' hold you down

When you're really goin' through it like me?

Who gon' see your face in the crowd

Pick you out like me?

I just wanna lay, I just want all you

All of you, I just want all you

You all over me, yeah, yeah

I just wanna lay, I just want all you

All of you, I just want all you

You all over me, yeah, yeah

And I know you wanna be with me

And you know I wanna be with you, uh

Life's too short

Lil' baby, fall through

I know you picture us

Been a long time without me

Up early, make breakfast

Spend the day playing video games

Now that you're gone, I've got 20-20 vision 'bout us

Now that you're here I can see it in another way

I just wanna feel you on me

This shit right here, can't get enough

Who gon' hold you down

When you're really goin' through it like me?

Who gon' see your face in the crowd

Pick you out like me?

I just wanna lay, I just want all you

All of you, I just want all you

You all over me, yeah, yeah

I just wanna lay, I just want all you

All of you, I just want all you

You all over me, yeah, yeah

And I know you wanna be with me

And you know I wanna be with you

Life's too short

Lil' baby, fall through

I just wanna lay, I just want all you

All of you, I just want all you

You all over me, yeah, yeah

I just wanna lay, I just want all you

All of you, I just want all you

You all over me, yeah, yeah

(All) I just wanna lay, I just want all you

(Of you) All of you, I just want all you

You all over me, yeah, yeah

(All) I just wanna lay, I just want all you

(Of you) All of you, I just want all you

You all over me, yeah, yeah

(All of you)

(All of you)

(All of you)

(All of you)"
Songs For You,Hopscotch,"Alright, we got another beautiful day here in sunny Los Angeles, California

Let's take a look at our seven day forecast

We're seeing lots of sunshine all week long

Temperature's in the mid to upper 70s

And don't forget, it's Taco Tuesdays

We got blow, hoes, and indo

Hey, when I'm lonely (When I'm lonely)

I always go up

Top dropped, feel like Otis (Top dropped, feel like Otis)

I always pull up

Two-time, never on me (Two-time, never on me)

Assume the shit is nice

I love when you notice (I love when you notice)

You I know I go nuts

Dip-dip like a donut (Dip-dip like a donut)

I'm hard to locate

Lipstick on the soda (Lipstick on the soda)

Gon' pour it on your face

Move bitch, bitch, I'm Luda

Assume the shit is nice

Cash, cash I got too much (I got too much)

Hold some just in case

Hopscotch, block's hot, pop rocks, off top

Like I know it

Non-stop, bop-bop, bop, drop top

'Cause I own it

Block's hot, pop rocks, hopscotch, off top

Like I know it

Non-stop, bop-bop, bop, drop top

'Cause I own it

Hey, when I'm lonely (When I'm lonely)

I hit my main bitch

Two shots better pour it (Pour it up)

We really off the shits

L.A. like I'm Bronny (Bronny)

Been ballin' kinda nice

Loose change that's a throwaway

That's really real rich

Hopscotch, block's hot, pop rocks, off top

Like I know it

Non-stop, bop-bop, bop, drop top

'Cause I own it

Block's hot, pop rocks, hopscotch, off top

Like I know it

Non-stop, bop-bop, bop, drop top

'Cause I own it

Mm-mm, this year I done made a lot

Got so many cars, I'ma need a lot

I been goin' in, don't know when to stop

I been goin' in, don't know when to stop

These hoes wanna be like me (Like me, like me, ayy)

These hoes wanna be like me (Like me, like me)

Ta-da-da

I didn't lease the coupe, I paid in full for this here car (Ayy)

Beverly and Fairfax if you're down to mob (Ayy)

Hittin' Jon & Vinny's, want fusilli spicy sauce

Paparazzi on me 'cause they know that I'm a star

Got these titties sittin' extra pretty in that bra (Ayy)

'Nashe steady grindin', I ain't ever fallin' off (Ayy)

Switch on me you never gonna get back what you lost, ayy

What's up my SoCal gals?

Hopscotch, block's hot, pop rocks, off top

Like I know it

Non-stop, bop-bop, bop, drop top

'Cause I own it

Ta-da-da

Block's hot, pop rocks, hopscotch, off top

Like I know it

Non-stop, bop-bop, bop, drop top

'Cause I own it

Ta-da-da

♪

Oh, ladies and gentlemen, it's hot, hot, hot

Like LeBron in the fourth quarter

And it's caliente outside"
Songs For You,Stormy Weather,"Speeding faster

Cross the border

Every moment

Getting older

Hotter, colder

Change the temperature

We in for some stormy weather

(Ooh ooh)

(Ooh ooh)

Switch up every day every evening

(Ooh ooh)

Fuck it, gotta go with the feeling

(Ooh ooh)

Keep on flipping

Backwards and forwards on ya'

I don't apologize

Trust my instincts hope that you feel me

Seems like, you a nice guy, oh

Circle meets the line I find

There is no where

There is no why

There is just time

(Ooh ooh)

(Ooh ooh)

Switch up every day every evening

(Ooh ooh)

Fuck it, gotta go with the feeling

(Ooh ooh)

♪

Speeding faster

Cross the border

Getting older

Hotter, colder

Are you still coming?

We in for some stormy weather

Speeding faster

Cross the border

Every moment

Getting older

Hotter, colder

Change the temperature

We in for some stormy weather"
Songs For You,Save room for us,"Heart goes numb

When the days turn to weeks

Only blank shadows

Of the way we used to be

All these time zones between us

Have grown, oh they've grown

But and these night don't get easier when I see ya with her

Just save room for us

Just save room for us

Somewhere

Just save room for us

I trust you'll come back for us

Someday, oh

You know it's not the end

We'll fall in love again

'Cause we were built in dreams of gold

Just save room for us

And it may not be today

True love will find a way

Just save a space for me

Oh

And I know you've moved on

She will never love you

Oh, the way that I do

Now I'm dancing solo

Slowly disappearing

It still hurts

When I see you with her

Just save room for us

Just save room for us

Somewhere

Just save room for us

I trust you'll come back for us

Someday

Just save room for us

And I know you've moved on

She will never love you

Oh, the way that I do

Now I'm dancing solo

Slowly disappearing

It still hurts

When I see you with her

Just save room for us

I know you feel it somewhere, somewhere

Just save room for us

I know you feel it somewhere, somewhere

Just save room for us

You know its not the end

We'll fall in love again

'Cause we were built in dreams of gold

Just save room for us

And it may not be today

True love will find a way

Just save a space for me

Just save room for us

I know you feel it somewhere, somewhere"
Songs For You,Story of us,"(You're the prince of...

Built a castle)

Yeah

You're the prince of my heart

And now there ain't no way they going keep us apart, keep us apart

Yeah

We built a castle of trust

And I'm your queen to be, now the story of us about to start

Yeah

You're the prince of my heart

And now there ain't no way they going keep us apart, keep us apart

Yeah

We built a castle of trust

And I'm your queen to be, now the story of us about to start

Once upon a time you're mine

Once upon time we start to fall... in love

Laid up wit you every night

Wish upon a star it ain't too good... to be true

Waiting on something what u waiting on,

Waiting on ya

Life's too short, baby gotta take control of what you want ya

I'm gonna make you my own happily ever after

Yeah

You're the prince of my heart

And now there ain't no way they going keep us apart, keep us apart

Yeah

We built a castle of trust

And I'm your queen to be, now the story of us about to start

Yeah

You're the prince of my heart

And now there ain't no way they going keep us apart, keep us apart

Yeah

We built a castle of trust

And I'm your queen to be, now the story of us about to start

No you never felt this way

Thought you'd been in love before, but it wasn't Love love like this

And you're never ever gonna need your space

Who would want space from something that feels so damn good, don't it?

Ooh woah

Ooh woah

Fly me out to Boston, Ritz Carlton

It's getting later, we're getting louder

Fucking on the bathroom counter

Yeah

You're the prince of my heart

And now there ain't no way they going keep us apart, keep us apart

Yeah

We built a castle of trust

And I'm your queen to be, now the story of us about to start

Yeah

You're the prince of my heart

And now there ain't no way they going keep us apart, keep us apart

Yeah

We built a castle of trust

And I'm your queen to be, now the story of us about to start

(You're the prince of...

Built a castle)"
Songs For You,Die a little bit,"Oh, whoa

Sometimes I can't, but I've been told I need to breathe

This life ain't something for someone like you and me

We just get caught up in the things that we don't need

Plenty time wasted, what are we waitin' for?

Searching for something in someone without a soul

Running in circles 'cause I suck at letting go

Starting to feel like there's no chance of breaking through

Plenty time wasted, what am I waitin' for?

Drink, smoke, dance, vibe a little bit

Change, ride, die a little bit

Drink, smoke, dance, vibe a little bit

Hange, ride, die a little bit

Who like to, who like to

Now, when you go to the ground (who like to, who like to)

Make sure that you pump your heels (who like to, who like to)

Please, pump your heels (who like to, who like to)

If you do it stick-footed (who like to, who like to)

You'll never get so far (who like to, who like to)

Who like to party?

Who got the room? I take what I like

Who got, who got the smoke I like to get by? (Smoke)

I need enough to last the whole time

To last the whole night, to last my whole life

Who got the room? I take what I like

Who got, who got the smoke I like to get by? (Smoke)

I need enough to last the whole time

To last the whole night, to last my whole life

I rock the party, that rock your body (uh)

In that Givenchy and Cavalli (uh)

Step up in the dance, these - they're on me

I want that white, that rum Bacardi

'Cause, it's been a long night, but it ain't light (uh)

You've been uptight, finna get right (uh)

Wanna let go, party 'til the sunlight (uh-uh)

Want a big bag wrist on frostbite

I came, I saw, need an encore (yeah)

I do the dash, pedal to the floor (uh)

I'm a hustler and a tough nut (mm)

Talkin' top tier, they ain't made the cut (haha)

I shell, ain't talkin' seashores

I been 'bout my -, I barely get bored

Money callin' then you know I'ma go

Got the whole front row screaming, ""Gimme some more"", uh

Damn, do you want more? Yeah

You do? Yeah

Who like to, who like to

Who like to, who like to

Who like to, who like to

Who like to party?

Drink, smoke, dance, vibe a little bit

Change, ride, die a little bit

Drink, smoke, dance, vibe a little bit

Change, ride, die a little bit

I'm gonna show you what it's like to dance

This is probably my favorite part because

You just get to be free"
Songs For You,Perfect crime,"Quick what's better than me?

But I don't give a shit what you saying to me

Ya, stay checking for me

When you want smoke, you can get it for free

Don't call

I don't wanna think about us at all, it still hurts way too much

Bleed out

From the knife here in my chest that you left my hearts not healing up

Maybe I'm masochistic, I can't help but love it ooh

It hurts so bad, it hurts so good

Dying all alone

No one will ever know

Perfect crime

Killing me

'Cause nobody gonna ever see

What you've done, got away

You will never live a guilty day

Perfect crime

Quick what's better than me?

But I don't give a shit what you saying to me

Ya, stay checking for me

When you want smoke, you can get it for free

In the end I won't need ya

Pouring up my medicine and tequila

And champagne, know when I'm mixing

If I don't make it through the night, still be winning

I'm okay

One more shot take the pain away

Thursday night bottles free

It's the scene of a

Perfect crime

Killing me

'Cause nobody gonna ever see

What you've done, got away

You will never live a guilty day

I need your love, I need your touch, I need a friend

I need a heart, I need a pulse, to breathe again

I come alive in the night in the moonlight

Yeah, I wanna feel alive with you

Yeah, I wanna shake my ass in the moonlight

Yeah, I'm gonna drop that down with you

I wanna see us dance in the moonlight

Yeah, I wanna feel alive with you

Yeah, I wanna see us dance in the moonlight

Yeah, I wanna drop that down with you"
Songs For You,Cash race,"Uh

It's a cash race, you in last place

Get my first name with your last name, uh

Fendi bag, ey

Birkin bag, ey

Paper tag, ey

Brand new jacket

Might just push a button, automatic start

My roof got the stars, I pull up with ya broad

Fifty point my diamond, you niggas too flaw hey

Ima buy the mall when I land tomorrow

Sheesh, new fashion

RIP your last bitch

I make ya look fantastic

You will never leave, this shit classic

Brand new coupe, missing roof, got em all shook

Ex calling, hit decline, damn I had to do it

Blah blah witty woo. cut all that noise

Got so many enemies, it ain't my fault now yeah

It's a cash race, you in last place

Get my first name with your last name, uh

Fendi bag, ey

Birkin bag, ey

Paper tag, ey

Brand new jacket

Might just push a button, automatic start

My roof got the stars, I pull up with ya broad

Fifty point my diamond, you niggas too flaw hey

Ima buy the mall when I land tomorrow

I been playing favorites why they on the same shit

Got em feeling seasick, I been super wavy

Niggas hit me daily you know I don't say shit

Still got

Still got all eyes on me

I been playing favorites why they on the same shit

Got em feeling seasick, I been super wavy

Niggas hit me daily you know I don't say shit

Still got

Still got all eyes on me

Look at they faces

They know that I'm more than amazing

I know I'm the shit I'm sure I'm the shit

Cause most of these bitches is basic

I can't be content or complacent

Still sing but I flip shit

Chun lee when I kick shit

Bun b on my pimp shit

Come for the bag

Couple bands in my Prada bag

Making moves I ain't gotta brag

What I need I ain't gotta ask

I ain't caught up in this or that

No fantasies I be spitting facts

Still making hits back to back to back to back to back to back

I been playing favorites why they on the same shit

Got em feeling seasick, I been super wavy

Niggas hit me daily you know I don't say shit

Still got

Still got all eyes on me

I been playing favorites why they on the same shit

Got em feeling seasick, I been super wavy

Niggas hit me daily you know I don't say shit

Still got

Still got all eyes on me

I'm the plug better hit me up

Hit me up

Out this world better beam me up

Beam me up

Pass it pass it pass it to the homie ya

Seen you looking at it like you own it, ya

I been looking rich in my videos

That's cause i been getting rich can you feel me tho?

Everybody acting like they know me ya

Try to get a picture at the show ya ya

I been playing favorites why they on the same shit

Got em feeling seasick, I been super wavy

Niggas hit me daily you know I don't say shit

Still got

Still got all eyes on me

I been playing favorites why they on the same shit

Got em feeling seasick, I been super wavy

Niggas hit me daily you know I don't say shit

Still got

Still got all eyes on me"
Songs For You,Link up,"Bad bitches link up, link up

I just pulled up in the Brinks truck

Bad bitches link up, link up

I just pulled up in the Brinks truck

Hundred thousand dollars, Cuban link up yea

All this drip on me I fuck the sink up

Bad bitches link up, link up

I just pulled up in the brinks truck

Windows tinted presidential, fuck a limo

Damn your rental, blew that shit on incidentals

Nashe pull up at the club, change the tempo

Me fucking with you, not my M.O.

Make a scene, made a cover magazine

In your face bitch, this ain't maybeline

Rafaelo VVS' bling bling

Head coach, I might put you on the team

Bad bitches link up, link up

I just pulled up in the Brinx truck

Bad bitches link up, link up

I just pulled up in the Brinx truck

Hundred thousand dollars, Cuban link up yea

All this drip on me I fuck the sink up

Bad bitches link up, link up

I just pulled up in the Brinx truck

And, and I brought some young bad bitches in here

Ain't no room for no mad bitches in here

Call me Nashe Houdini doing trick with a saw

For my next act... watch me cut these bitches off

Yeah I'm a boss

Pink diamond Cuban link, that sauce

Pink mink dripping like a sink when I floss

Take a trip, let him book it for me

GPS yo nigga if you looking for me

Bad bitches link up, link up

I just pulled up in the Brinx truck

Bad bitches link up, link up

I just pulled up in the Brinx truck

Hundred thousand dollars, Cuban link up yea

All this drip on me I fuck the sink up

Bad bitches link up, link up

I just pulled up in the Brinx truck

Yea

I bet you wanna see me naked, don't ya?

Uh, I got yo main nigga checking for me

Yeah 50 bitches in my section on it

Yeah And they all with the shit

Yea

I bet you wanna see me naked, don't ya?

Uh, I got yo main nigga checking for me

Yeah 50 bitches in my section on it

Yeah And they all with the shit

I been popping since a youngin

Bet these hoes know how I'm coming

Too much sauce, I got it runny

Covered all in that drip

All this ice all in that Patty

Nashe come thru wit ya daddy

Up my standards and my status

Now they all on my dick

I'm on that wave

Used to want it, now I got it

Bitch I'm paid

New California, white on white I made a wave

Private flights I'm outta state like every day

I'm here to stay

Yea

I bet you wanna see me naked, don't ya?

Uh, I got yo main nigga checking for me

Yeah 50 bitches in my section on it

Yeah And they all with the shit

Yea

I bet you wanna see me naked, don't ya?

Uh, I got yo main nigga checking for me

Yeah 50 bitches in my section on it

Yeah And they all with the shit"
Songs For You,Touch and go,"Wish you would say somethin'

To make me change my mind

Got me feelin' like somebody else

I been so patient with you but you won't act right

And I'm tired of sleepin' by myself

What is we on? Boy, somethin' is wrong

Show me you want me too, mmh

Checkin' my phone every ten minutes

Thinkin' it's gon' be you, hmm

I just wanna fix this, but you don't wanna try

If you don't wanna be, why you always on my line?

Puttin' your peace over mine

Meet me in the middle, oh

(Mmh)

Touch and go (Mhm)

(Mmh)

Touch and go (Mhm)

I'm too emotional (Mmh)

Touch and go (Mhm)

I'm too emotional (Mhm)

Touch and go (Mhm)

I'm too emotional

♪

I been in touch with myself lately, I been kickin' it back

But you're workin' me so hard, I swear it's killin' me, yeah

Why we talk the most anytime we lay down in the bed?

Good head make you forget what you said

I been tryin' take it there, but make it clear, uh

You been fuckin' many weirdos, I'ma kill bruh

Sike, I'm playin'

I know it's been bad

It's been touch and go

It's been 'round and 'round

It's been loop-de-loop

We been here before

I just wanna fix this, but you don't wanna try

If you don't wanna be, why you always on my line?

Puttin' your peace over mine

Meet me in the middle

(Mmh)

Touch and go, oh, oh (Mhm)

(Mmh)

Touch and go (Mhm)

I'm too emotional (Mmh)

Touch and go (Mhm)

I'm too emotional (Mhm)

Touch and go (Mhm)

I'm too emotional

Baby, do you hear me?

Tell me you still see me

All I know is I just need to know if you still need me

Baby, do you hear me?

Tell me you still see me

I just need to have you closer every time you're near me

(Mmh)

Touch and go (Mhm)

(Mmh)

Touch and go (Mhm)

I'm too emotional (Mmh)

Touch and go (Mhm)

I'm too emotional (Mhm)

Touch and go (Mhm)

I'm too emotional"
Songs For You,Know better,"Bongo turn it up

Bongo by the way

Sitting here with my thoughts in a bottle

Every time I take a sip, I'm reminded of you

Like, how you been?

Wait a minute, what am I doing?

It feels different when you're not around

Never thought that this would be us

I feel away, I feel away, baby

I was fighting but you gave up

Now you feel away, you feel away, and I

Wanna love you, but I know better, better

Wanna kiss you, but I know better

I know better, baby

Miss you, but I know better

Got me telling all my secrets

Got me in and out my feelings tonight

Who was wrong? Who was right?

Doesn't matter

""It'll fade over time"" is what I tell myself

Hit decline on my line when you call now

I'm distant, it's different with you, oh-woah

All those nights I cried over us (cried over us)

Where were you then? (Where were you then?)

Where were you then, baby? (Oh)

I don't wanna feel that again (feel that again)

I'm still afraid, I'm still afraid, and I

Wanna love you, but I know better, better

Wanna kiss you, but I know better

I know better, baby

Miss you, but I know better

Got me telling all my secrets

Got me in and out my feelings tonight

Wanna love you, but I know better, better (no, yeah)

Wanna kiss you, but I know better

I know better, baby

Miss you, but I know better (better)

Got me telling all my secrets

Got me in and out my feelings tonight

Ooh, ooh, ooh, ooh, ooh, oh baby (baby)

Ooh, ooh, ooh, ooh, ooh, oh baby (yeah)

Ooh, ooh, ooh, ooh, ooh

Got me telling all my secrets

Got me in and out my feelings tonight

(Telling all my secrets)

(In and out my feelings tonight)

♪

Somewhere over the horizon sun is rising on you with no me

I would put my pride aside if you could promise to be worth the wait

Hoping that you think about us, sometimes I'm still leaning on the lonely

Another broken heart, another day

When I fall in love, I guess I'm always gonna stay

Living like a ghost, I'm haunted, all I want is to feel like the old me

Fade away a little slower, I go over every word you told me

If it was all lies, then why did I feel I'm in heaven when you hold me?

Another broken heart, another day

When I fall in love, I guess I'll always find a way

Still feels like I could fall to pieces when I hear your name

Hoping just a little that you feel the same, anyway

Honestly, what's another break up to a girl like me?

I could find another lover easily, and you know it

Tell me

Did you notice I've been doing just fine?

It's like you're never here and the tears have all dried

Did you notice?

Did you notice me?

Did you notice I've been doing okay?

Don't even think about you every single day

Did you notice me? Oh

Ooh, ah

Ooh, oh

Ooh, ah

Still feels like I could fall to pieces when I hear your name

Hoping just a little that you feel the same, anyway, oh

Honestly, what's another break up to a girl like me?

I could find another lover easily, and you know it

Tell me

Did you notice I've been doing just fine?

It's like you were never here and the tears have all dried

Did you notice?

Did you notice me?

Did you notice I've been doing okay?

Still think about you every single night and day

Did you notice me?"
Songs For You,You,"All these songs for you, baby

You know who you are"
Songs For You,So much better,"Don't forget what I told ya

No one gon' love like I love ya

Hit you, 4 a.m

Bad bitch, I don't give a fuck about your ex thing

I'ma show you things

Make it worth the wait

Don't go

Bad bitch, I don't give a fuck about your girlfriend

Listen, this infatuation, gotta keep it going (I love it)

Dripping with anticipation, every night I need it (I love it)

I'ma sit on top of your face, fuck a conversation (I love it)

Don't you keep me waiting, nigga

Bad bitch, I don't give a fuck about your next thing

So much better, I'll love you better, yeah

Kiss you better, I'll touch you better, yeah

Treat you better, I fuck you better (so much better)

So much better, I'll make you better, yeah

Tongue kissing, end up on the floor with it

Don't miss it, watch me, how I'm gon' flip it

Slow sipping, gettin' wet, you goin' swimming

No limit, you gon' fall in love with it

Fuck with it, I put my trust in it

Grab it from the top, just adjustin' it

Tryna get more, he was just in it

Do it so good, call me one minute

Hit your line when I want to

Hit decline when I'm over ya

'Cause I got you in the bag

Bad bitch, I don't give a fuck about your ex thing

Maybe, catch you a red eye

I don't even think twice

'Cause that's mine

Bad bitch, I don't give a fuck about your girlfriend

Tinashe (yeah?)

It's been a long time coming

Could tell you needed dick, you spent a long time cumming

We went four rounds, spent a long time fucking

I'd rather stay inside with you than all night clubbing, yeah

I sent you from a distance, said I got a plan

And I don't give a fuck if you got a man

Makin' up for missed time, covered a lot of land

I'm in a 'Rari, I'ma get you off with my hand

I'ma take it slow, nothing to rush into

The whole world knew I always had a crush on you

When I leave the studio, I swear I'm fucking you

I mean for real, Tinashe, let's leave here right now

So much better, I'll love you better, yeah

Kiss you better, I'll touch you better, yeah

Treat you better, I'll fuck you better (so much better)

So much better, I'll make you better, yeah

♪

When you're finally fall in love

Find the one, would you let it go?

If I trade you gold?

Would you fight for what you want, baby?

Would you fight for what you want?

♪

Your soul, soul, soul, ah

Would you fight for what you want?

When you finally fall in love, baby

♪

Would you let it go?

♪

Would you sell your soul?"
Songs For You,Remember When,"Who am I to fall in love again?

Fallin' so easy

Why am I so reckless with my heart?

Why, oh no

Ooh, but I just wanna love ya, I just wanna love ya

I just wanna love you, love you in spite of it, everything

I just wanna kiss ya, I just wanna hold ya

I just wanna touch you, need you inside of me

Do you remember when, we went to the park at night

I told you how I felt, I'll never forget

I hope you know I meant, I hope you know I meant

Every word I said, every word I said to you, baby

I was made for you

Ooh, ah

Pickin' up the pieces of a mess

But I feel like myself again, ooh, oh

Think I saw forever in your eyes

Eye-eye, eye-eyes

Know the situation's pretty complicated

I just wanna go back, if we could foster it, no

Hope you're not just playin' with my emotions

Or maybe I'm just stupid

Do you still believe in it?

Do you remember when, made you those promises

I'll never forget, I'll never forget

I hope you know I meant, I hope you know I meant

Every word I said, every word I said to you, babe

Ooh, oh, ooh, oh yeah

Ooh, oh, ooh, oh, ooh

I hope you know I meant it

I know, I know, I-I, I-I

Know, I know, I know, I"
